start_time	end_time	translated_text
0.30	6.60	저는 사람들이 직접 만날 때 더 생산적이어야 한다고 믿지만, 몇 가지 예외도 있습니다.
6.60	14.20	하지만 저는 재택근무라는 개념이 마치, 아시다시피, 마리 앙투아네트가 말한 "케이크를 먹게 두세요"라는 말과 비슷하다고 생각합니다.
14.40	20.00	마치 집에서 일하고 다른 사람들에게도 차를 만들어주는 것과 같습니다.
20.00	21.90	공장에서 일하면서 실제로 일해 보세요.
21.90	26.00	배달되는 음식을 만드는 사람들은 집에서 일할 수 없게 될 겁니다.
26.30	33.90	집을 고쳐주는 사람들이 있는데, 그들은 집에서 일하지만 그것이 도덕적으로 옳은 일이라고 생각하시나요?
34.70	35.50	정말 엉망이에요.
35.60	36.80	아시다시피 도덕적인 문제가 있죠.
36.80	37.30	예.
37.40	40.10	저는 이 문제를 생산성 문제로 봅니다.
46.80	51.60	그들은 다른 사람들에게 집에서 일하지 말라고 요구하는 반면, 자신들은 꿈나라에 살면서 노트북 수업을 듣고 있기 때문입니다.
