start_time	end_time	translated_text
0.00	3.70	정말 집에서 일하고 다른 사람들에게도 차를 만들어 주게 되는 거죠.
3.70	5.50	공장에서 일하면서 실제로 일해 보세요.
5.50	9.60	배달되는 음식을 만드는 사람들은 집에서 일할 수 없게 될 겁니다.
9.90	17.50	집을 고쳐주는 사람들이 있는데, 그들은 집에서 일할 수는 없지만 당신은 할 수 있다고 생각하지 않나요, 말리?
18.30	19.10	정말 엉망이에요.
19.20	20.30	아시다시피 도덕적인 문제가 있죠.
20.40	23.10	그렇습니다. 생산성 문제이기도 하지만 도덕적인 문제이기도 합니다.
24.10	27.10	재택근무라는 헛소리로 인해 엄청난 도덕적 우월감을 잃게 됩니다.
28.60	34.10	다른 사람들에게는 집에서 일하지 말라고 하면서, 노트북 수업을 듣는 건 마치 환상 속에 사는 것과 마찬가지잖아요. 알겠어요?
34.10	36.60	자동차를 보세요. 하지만 여기서는 사람들이 재택근무를 합니다.
36.60	37.30	물론 아니지요.
37.40	46.20	하지만 자동차는 정비를 하고, 자동차는 집을 짓고, 집을 수리하고, 음식을 만들고, 사람들이 소비하는 모든 것을 만듭니다.
47.80	52.60	그들은 일하러 가야 하지만, 당신은 그렇지 않다고 가정하는 건 엉뚱한 짓입니다.
53.60	54.50	어때요?
54.50	58.20	즉, 그것은 그저 어떤 것의 산물이 아닙니다. 저는 그것이 Marley라고 생각합니다. Marley는 틀렸습니다.
