start_time	end_time	translated_text
1.30	3.10	오버워치 추천좀 해주시겠어요?
3.10	11.20	OverWatch.놀라운 0이 있습니다.놀랍습니다.네, 일반적으로 블리자드는 훌륭한 것입니다.
11.20	21.20	음, 하스스톤은 아직 해보지 않았어요.사람들이 좋아한다는 건 알아요.우리 아이들이 제일 많이 하는 게 하스스톤이에요.알았죠?
21.20	24.20	블리자드에서도, 오늘 밤에 확인해보겠습니다.알았어요
24.20	33.40	음, 시간 내주셔서 정말 감사하고, 쿨하게 시작해야겠어요.새로운 지역을 시도해 봤는데, Deus Ex가장 좋았어요, 알겠어요?
33.40	45.90	하지만, 만약 그것이 내가 최근에 플레이한 최고의 게임이라면, 그것은 새로운 게임이 아닙니다.The Last of UsS0인가요?정말 몇 년 전 게임인가요?물론이죠.저는 그것을 좋아합니다.좋아요, Last of Us그래요, 당신도 그것을 좋아하시죠.정말 좋은 게임이 있어요.
45.90	53.00	응, 언차티드에 대한 좋은 소문을 들었어. 난 정말 우리 중 마지막이었을 뿐이야. 스토리 타임이야.
53.90	56.00	솔직히 말해서, 저는 그것이 정말 무시되고 있다고 생각합니다.
56.10	66.50	제가 말하고자 하는 건, 최신 Deus Ex에 대한 후드의 비판은 스토리텔링이 좀 지루하다는 거예요. 이전 Deus Ex와 원본은 어디 있는 거죠? 원본 Deus Ex의 스토리텔링은 정말 훌륭했어요.
66.60	69.20	만약 누군가가 Deus Ex의 원작을 플레이해봤다면,
69.20	72.40	정말 끔찍했어요.
73.60	77.90	게임이 NFL을 대체하는 것과 더욱 유사해지면서 스토리텔링이 일반적으로 무시된다고 생각합니다.
77.90	82.00	네, 절대적으로 영화적인 것을 연기하는 것은 특히 인상 깊습니다. 네, 스토리텔링이죠.
83.40	91.20	그래픽과 사운드가 끔찍했던 가장 오래된 게임 중 일부.스토리텔링에 의존해야 했습니까?예.놀라운 스토리인 오래된 마리오 게임.예.
