start_time	end_time	translated_text
0.30	5.20	당신은 어렸을 때, 자신이 해결해야 할 가장 중요한 문제가 다섯 가지가 있다고 유명하게 말한 적이 있습니다.
5.70	9.60	만약 당신이 오늘 22살이라면, 해결하고 싶은 5가지 문제는 무엇입니까?
9.60	19.80	글쎄요, 무엇보다도, 만약 누군가가 사회에 도움이 되는 일을 한다면, 그건 좋은 일이라고 생각해요. 세상을 바꿀 필요는 없잖아요.
19.80	35.70	사람들에게 높은 가치가 있는 것을 만든다면, 솔직히 말해서 그것이 게임과 같거나, 사진 공유 기능을 개선한 것일지라도요.
35.70	39.70	그렇다면 그것은 다수의 사람들에게 소량이나마 유익할 것입니다.
39.70	46.10	제 말은, 그게 괜찮다고 생각해요. 세상이 좋아지기 위해 꼭 바뀔 필요는 없잖아요.
46.10	57.70	하지만 제 생각에 인류의 미래에 가장 큰 영향을 미칠 것으로 보이는 것 중에서는 AI가 단기적으로 가장 큰 영향을 미칠 가능성이 큰 요소일 겁니다.
57.70	58.80	그런 효과예요.
60.10	60.20	티.
60.20	66.60	AI의 출현을 좋은 방향으로 받아들이는 게 중요합니다.
66.70	68.60	그게, 그게 뭔가야
70.80	74.80	만약 당신이라면, 만약 당신이 수정 구슬을 들여다보고 미래를 볼 수 있다면, 당신은 그런 결과를 원할 것입니다.
76.60	82.40	이미 여러 번 이야기했듯이건 잘못될 수 있는 일이기 때문이죠.
83.20	85.80	우리는 이것이 올바르게 진행되도록 정말 확인해야 합니다.
88.40	93.30	그렇죠. 저는 AI에 관해 연구하고 그것이 훌륭한 미래가 되도록 노력할 거라고 생각합니다.
93.30	95.60	그게, 지금 제가 생각하는 가장 중요한 것입니다.
96.70	102.40	가장 시급한 아이템 세트는 당연히 유전학을 통해서라고 생각합니다.
103.30	115.80	만약 유전적 질환을 실제로 해결할 수 있다면, 치매나 알츠하이머병 같은 것을 예방할 수 있다면, 유전자 외 재프로그래밍을 한다면 정말 대단할 겁니다.
115.80	116.60	나는 이렇게 생각한다
118.20	124.20	유전학은 제 생각에 두 번째로 중요한 항목일 수 있습니다.
125.70	128.90	뇌와의 고대역폭 인터페이스를 갖는 것.
129.00	131.20	현재는 대역폭이 제한되어 있습니다.
131.20	153.00	우리는 컴퓨터와 전화 애플리케이션이 효과적으로 초인적인 기능을 수행할 수 있는 디지털적인 3차 자아를 가지고 있지만, 피질과 당신 사이의 인터페이스에 제약이 심합니다. 그 3차 디지털 자아는 당신 자신의 형태이며 그 대역폭 제약을 해결하는 데 도움이 될 것입니다.
153.10	154.80	저는 미래에도 중요하다고 생각합니다.
